production,lag_1,lag_2,lag_3
118.4564,115.9774,110.1524,100.7496
120.7117,118.4564,115.9774,110.1524
108.7465,120.7117,118.4564,115.9774
101.782,108.7465,120.7117,118.4564
97.206,101.782,108.7465,120.7117
91.8637,97.206,101.782,108.7465
88.9254,91.8637,97.206,101.782
89.0084,88.9254,91.8637,97.206
85.1186,89.0084,88.9254,91.8637
88.5622,85.1186,89.0084,88.9254
103.2736,88.5622,85.1186,89.0084
114.0601,103.2736,88.5622,85.1186
115.8743,114.0601,103.2736,88.5622
101.7672,115.8743,114.0601,103.2736
89.9004,101.7672,115.8743,114.0601
88.9836,89.9004,101.7672,115.8743
85.5603,88.9836,89.9004,101.7672
79.7102,85.5603,88.9836,89.9004
80.2515,79.7102,85.5603,88.9836
79.5651,80.2515,79.7102,85.5603
82.3126,79.5651,80.2515,79.7102
89.0494,82.3126,79.5651,80.2515
101.1519,89.0494,82.3126,79.5651
123.6728,101.1519,89.0494,82.3126
117.0719,123.6728,101.1519,89.0494
116.5435,117.0719,123.6728,101.1519
100.3797,116.5435,117.0719,123.6728
99.0155,100.3797,116.5435,117.0719
91.9654,99.0155,100.3797,116.5435
89.4914,91.9654,99.0155,100.3797
89.9713,89.4914,91.9654,99.0155
89.5047,89.9713,89.4914,91.9654
96.4638,89.5047,89.9713,89.4914
106.7689,96.4638,89.5047,89.9713
115.8542,106.7689,96.4638,89.5047
126.2773,115.8542,106.7689,96.4638
117.7195,126.2773,115.8542,106.7689
118.7519,117.7195,126.2773,115.8542
103.0635,118.7519,117.7195,126.2773
102.5548,103.0635,118.7519,117.7195
98.9834,102.5548,103.0635,118.7519
97.5274,98.9834,102.5548,103.0635
91.3629,97.5274,98.9834,102.5548
89.6899,91.3629,97.5274,98.9834
89.6268,89.6899,91.3629,97.5274
91.8899,89.6268,89.6899,91.3629
93.9062,91.8899,89.6268,89.6899
116.7634,93.9062,91.8899,89.6268
116.8258,116.7634,93.9062,91.8899
114.9563,116.8258,116.7634,93.9062
99.9662,114.9563,116.8258,116.7634
99.0417,99.9662,114.9563,116.8258
94.1484,99.0417,99.9662,114.9563
87.695,94.1484,99.0417,99.9662
85.351,87.695,94.1484,99.0417
86.5815,85.351,87.695,94.1484
89.5217,86.5815,85.351,87.695
98.2967,89.5217,86.5815,85.351
112.2694,98.2967,89.5217,86.5815
114.9091,112.2694,98.2967,89.5217
116.0791,114.9091,112.2694,98.2967
116.1401,116.0791,114.9091,112.2694
107.0733,116.1401,116.0791,114.9091
102.0263,107.0733,116.1401,116.0791
102.6319,102.0263,107.0733,116.1401
95.3206,102.6319,102.0263,107.0733
91.7584,95.3206,102.6319,102.0263
91.8125,91.7584,95.3206,102.6319
92.4299,91.8125,91.7584,95.3206
100.3593,92.4299,91.8125,91.7584
105.5167,100.3593,92.4299,91.8125
117.3458,105.5167,100.3593,92.4299
121.6179,117.3458,105.5167,100.3593
123.2412,121.6179,117.3458,105.5167
104.5665,123.2412,121.6179,117.3458
103.9509,104.5665,123.2412,121.6179
101.0708,103.9509,104.5665,123.2412
93.0044,101.0708,103.9509,104.5665
88.4073,93.0044,101.0708,103.9509
89.3661,88.4073,93.0044,101.0708
88.0949,89.3661,88.4073,93.0044
98.0799,88.0949,89.3661,88.4073
106.8675,98.0799,88.0949,89.3661
119.7665,106.8675,98.0799,88.0949
129.0619,119.7665,106.8675,98.0799
128.5528,129.0619,119.7665,106.8675
109.9525,128.5528,129.0619,119.7665
108.9073,109.9525,128.5528,129.0619
106.5261,108.9073,109.9525,128.5528
101.0631,106.5261,108.9073,109.9525
96.7802,101.0631,106.5261,108.9073
100.8339,96.7802,101.0631,106.5261
102.829,100.8339,96.7802,101.0631
115.903,102.829,100.8339,96.7802
115.8964,115.903,102.829,100.8339
126.744,115.8964,115.903,102.829
124.5176,126.744,115.8964,115.903
120.2374,124.5176,126.744,115.8964
108.5041,120.2374,124.5176,126.744
108.1308,108.5041,120.2374,124.5176
107.9417,108.1308,108.5041,120.2374
103.6179,107.9417,108.1308,108.5041
102.0816,103.6179,107.9417,108.1308
102.4044,102.0816,103.6179,107.9417
102.9512,102.4044,102.0816,103.6179
104.6977,102.9512,102.4044,102.0816
109.3191,104.6977,102.9512,102.4044
119.0502,109.3191,104.6977,102.9512
116.8431,119.0502,109.3191,104.6977
116.4535,116.8431,119.0502,109.3191
109.4666,116.4535,116.8431,119.0502
113.4661,109.4666,116.4535,116.8431
105.2245,113.4661,109.4666,116.4535
107.4288,105.2245,113.4661,109.4666
101.9209,107.4288,105.2245,113.4661
104.2022,101.9209,107.4288,105.2245
102.5861,104.2022,101.9209,107.4288
114.0613,102.5861,104.2022,101.9209
